""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Maglemose bog, Sarauw's islet, W Zealand.Maglemose bog, Sarauw's islet, W Zealand1"	"K-1610"	"wood"	"betula"	"Maglemose bog, Sarauw's islet, W Zealand"	"Epipalaeolithic"	"Maglemose "	55.5	11.217	"14C"	9490	160	"Copenhagen datelist 10, pp.88-9 (Radiocarbon, 15 (1973): 86-112);"	"epipalaeolithic"	"other"	0.05	"#3058e5"	9730
"Magoito.Magoito"	"ICEN-80"	"shell"	"nd"	"Magoito"	"Palaeolithic"	"Final Magdalenian"	37.3	-7.5833	"14C"	11460	150	"Bicho N.F. 1999. Eraul 90: 55."	"palaeolithic"	"other"	-0.05	"#990033"	10840
"Magoito.Magoito1"	"ICEN-52"	"charcoal"	"nd"	"Magoito"	"Palaeolithic"	"Final Magdalenian"	37.3	-7.5833	"14C"	10840	170	"Bicho N.F. 1999. Eraul 90: 55."	"palaeolithic"	"charcoal"	0.05	"#3058e5"	11460
"Magura.Magura"	"Bln-1574"	"charcoal"	"nd"	"Magura"	"Chalcolithic"	"Transitional"	43.7166	22.6	"14C"	5820	70	"Görsdorf 1996"	"chalcolithic"	"charcoal"	-0.05	"#990033"	5770
"Magura.Magura1"	"Bln-1575"	"charcoal"	"nd"	"Magura"	"Chalcolithic"	"Transitional"	43.7166	22.6	"14C"	5770	90	"Görsdorf 1996"	"chalcolithic"	"charcoal"	0.05	"#3058e5"	5820
"Măgura-Buduiasca.Măgura-Buduiasca"	"Wk-14435"	"bone"	"animal"	"Măgura-Buduiasca"	"Neolithic"	"Starčevo"	47.317	23.7	"14C"	7740	70	"Mirea 2005"	"neolithic"	"bone"	-0.05	"#990033"	7630
"Măgura-Buduiasca.Măgura-Buduiasca1"	"Wk-14437"	"bone"	"animal"	"Măgura-Buduiasca"	"Neolithic"	"Starčevo"	47.317	23.7	"14C"	7630	40	"Mirea 2005"	"neolithic"	"bone"	0.05	"#3058e5"	7740
"Magzaliyah.Magzaliyah"	"IGAN-772"	"charcoal"	"nd"	"Magzaliyah"	"Neolithic"	"PPNB"	36.39	42.32	"14C"	8870	100	"Bader 1989, 314"	"neolithic"	"charcoal"	-0.05	"#990033"	8290
"Magzaliyah.Magzaliyah1"	"IGAN-773"	"charcoal"	"nd"	"Magzaliyah"	"Neolithic"	"PPNB"	36.39	42.32	"14C"	8290	70	"Bader 1989, 314"	"neolithic"	"charcoal"	0.05	"#3058e5"	8870
"Maidanetske.Maidanetske"	"Bln-2087"	"charcoal"	"nd"	"Maidanetske"	"Transitional"	"Tripolje"	48.8186	30.6975	"14C"	5640	50	"Bojadziev 1998"	"other"	"charcoal"	-0.05	"#990033"	5280
"Maidanetske.Maidanetske1"	"Ki-1212"	"charcoal"	"nd"	"Maidanetske"	"Transitional"	"Tripolje"	48.8186	30.6975	"14C"	5280	160	"Bojadziev 1998"	"other"	"charcoal"	0.05	"#3058e5"	5640
"Maiden Castle.Maiden Castle"	"BM-2450A"	"charcoal"	"nd"	"Maiden Castle"	"Neolithic"	"nd"	51.2066	-2.408	"14C"	5790	80	"British Museum XXI, 19"	"neolithic"	"charcoal"	-0.05	"#990033"	5390
"Maiden Castle.Maiden Castle1"	"BM-2452"	"bone"	"ox"	"Maiden Castle"	"Neolithic"	"nd"	51.2066	-2.408	"14C"	5390	70	"British Museum XXI, 19"	"neolithic"	"bone"	0.05	"#3058e5"	5790
"Mainzlar.Mainzlar"	"GrA-16041"	"bone"	"nd"	"Mainzlar"	"Bronze Age"	"Glockenbecher"	50.6667	8.7333	"14C"	3290	70	"Kiel DB 2806"	"bronzeage"	"bone"	-0.05	"#990033"	3290
