""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Starr 1.Starr 11"	"OxA-1596"	"charcoal"	"hazelnut "	"Starr 1"	"Epipalaeolithic"	"nd"	55.2151	-4.3847	"14C"	7130	110	"CBA Radiocarbon Index"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	7130
"Starr Carr.Starr Carr"	"CAR-1021"	"soil"	"nd"	"Starr Carr"	"Epipalaeolithic"	"nd"	54.2133	-0.4234	"14C"	12890	110	"CBA Radiocarbon Index"	"epipalaeolithic"	"other"	-0.05	"#990033"	9590
"Starr Carr.Starr Carr1"	"CAR-1017"	"soil"	"nd"	"Starr Carr"	"Epipalaeolithic"	"nd"	54.2133	-0.4234	"14C"	9590	90	"CBA Radiocarbon Index"	"epipalaeolithic"	"other"	0.05	"#3058e5"	12890
"Stary Zamek.Stary Zamek"	"Bln-1737"	"nd"	"nd"	"Stary Zamek"	"Neolithic"	"Stichbandkeramik"	50.9313	16.8101	"14C"	6870	70	"Breunig 1987, 155"	"neolithic"	"unknown"	-0.05	"#990033"	6730
"Stary Zamek.Stary Zamek1"	"Bln-1738"	"nd"	"nd"	"Stary Zamek"	"Neolithic"	"Stichbandkeramik"	50.9313	16.8101	"14C"	6730	100	"Breunig 1987, 155"	"neolithic"	"unknown"	0.05	"#3058e5"	6870
"Station du Moulin.Station du Moulin"	"Ly-3804"	"bone"	"nd"	"Station du Moulin"	"Neolithic"	"Cardial"	44.18	5.5	"14C"	6660	160	"van Willigen 2006"	"neolithic"	"bone"	-0.05	"#990033"	6350
"Station du Moulin.Station du Moulin1"	"Ly-3805"	"bone"	"nd"	"Station du Moulin"	"Neolithic"	"Chasseen"	44.18	5.5	"14C"	6350	140	"van Willigen 2006"	"neolithic"	"bone"	0.05	"#3058e5"	6660
"Station Leduc.Station Leduc"	"Lv-1401"	"charcoal"	"hazelnut"	"Station Leduc"	"Epipalaeolithic"	"nd"	50.4667	5.6667	"14C"	7820	90	"Gilot, 1997"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	4000
"Station Leduc.Station Leduc1"	"Lv-1311"	"charcoal"	"nd"	"Station Leduc"	"Epipalaeolithic"	"EpiPalaeolithic"	50.4728	5.6753	"14C"	4000	170	"Gilot, 1997"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	7820
"Stationsvej 19.Stationsvej 19"	"K-4959"	"charcoal"	"nd"	"Stationsvej 19"	"Epipalaeolithic"	"nd"	55.5111	12.3349	"14C"	8210	120	"Sørensen 1996"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	3290
"Stationsvej 19.Stationsvej 191"	"K-4961"	"charcoal"	"nd"	"Stationsvej 19"	"Epipalaeolithic"	"nd"	55.5111	12.3349	"14C"	3290	120	""	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	8210
"Stävie 4:2.Stävie 4:2"	"St-6000"	"nd"	"nd"	"Stävie 4:2"	"Neolithic"	"nd"	55.767	13.067	"14C"	4450	140	"Kiel DB 2013"	"neolithic"	"unknown"	-0.05	"#990033"	4450
"Stävie 4:2.Stävie 4:21"	"St-6000"	"nd"	"nd"	"Stävie 4:2"	"Neolithic"	"nd"	55.767	13.067	"14C"	4450	140	"Kiel DB 2013"	"neolithic"	"unknown"	0.05	"#3058e5"	4450
"Stävie 4:4.Stävie 4:4"	"St-6003"	"nd"	"nd"	"Stävie 4:4"	"Neolithic"	"nd"	55.767	13.067	"14C"	4590	150	"Kiel DB 2013"	"neolithic"	"unknown"	-0.05	"#990033"	4590
"Stävie 4:4.Stävie 4:41"	"St-6003"	"nd"	"nd"	"Stävie 4:4"	"Neolithic"	"nd"	55.767	13.067	"14C"	4590	150	"Kiel DB 2013"	"neolithic"	"unknown"	0.05	"#3058e5"	4590
"Staythorpe.Staythorpe"	"OxA-8136"	"bone"	"human"	"Staythorpe"	"Epipalaeolithic"	"nd"	53.0667	-0.8667	"14C"	7630	30	"?"	"epipalaeolithic"	"bone"	-0.05	"#990033"	7630
"Staythorpe.Staythorpe1"	"OxA-8136"	"bone"	"human"	"Staythorpe"	"Epipalaeolithic"	"nd"	53.0667	-0.8667	"14C"	7630	30	"?"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	7630
"Steden 2.Steden 2"	"Hv-7703"	"charcoal"	"nd"	"Steden 2"	"Neolithic"	"Tiefstich"	53.3627	8.8886	"14C"	4410	140	"Kiel DB"	"neolithic"	"charcoal"	-0.05	"#990033"	4410
"Steden 2.Steden 21"	"Hv-7703"	"charcoal"	"nd"	"Steden 2"	"Neolithic"	"Tiefstich"	53.3627	8.8886	"14C"	4410	140	"Kiel DB"	"neolithic"	"charcoal"	0.05	"#3058e5"	4410
"Stehag parish, Scania, S. Sweden.Stehag parish, Scania, S. Sweden"	"OxA-2792"	"bone"	"elk   "	"Stehag parish, Scania, S. Sweden"	"Late Palaeolithic? (Ahrensburgian)"	"Rönneholms mosse"	55.92	13.4	"14C"	9630	100	"OxA datelist 20, pp.417-8 (Archaeometry, 37 (1995): 417-30);"	"other"	"bone"	-0.05	"#990033"	9630
"Stehag parish, Scania, S. Sweden.Stehag parish, Scania, S. Sweden1"	"OxA-2792"	"bone"	"elk   "	"Stehag parish, Scania, S. Sweden"	"Late Palaeolithic? (Ahrensburgian)"	"Rönneholms mosse"	55.92	13.4	"14C"	9630	100	"OxA datelist 20, pp.417-8 (Archaeometry, 37 (1995): 417-30);"	"other"	"bone"	0.05	"#3058e5"	9630
"Stehelčeves, Homolka.Stehelčeves, Homolka"	"OWU-59"	"charcoal"	"nd"	"Stehelčeves, Homolka"	"Chalcolithic"	"Řivnáč "	49.0308	14.9891	"14C"	3710	230	"Ogden, J. G. - Hay, R. J. (1964). Ohio-Wesleyan University Natural Radiocarbon Measurements I. Radiocarbon, 6, 340-348."	"chalcolithic"	"charcoal"	-0.05	"#990033"	3710
"Stehelčeves, Homolka.Stehelčeves, Homolka1"	"OWU-59"	"charcoal"	"nd"	"Stehelčeves, Homolka"	"Chalcolithic"	"Řivnáč "	49.0308	14.9891	"14C"	3710	230	"Ogden, J. G. - Hay, R. J. (1964). Ohio-Wesleyan University Natural Radiocarbon Measurements I. Radiocarbon, 6, 340-348."	"chalcolithic"	"charcoal"	0.05	"#3058e5"	3710
"Stein.Stein"	"GrN-4831"	"charcoal"	"nd"	"Stein"	"Neolithic"	"Limburger Mittelneolithikum"	50.95	5.75	"14C"	5480	90	"Lanting/Mook 1977, 69."	"neolithic"	"charcoal"	-0.05	"#990033"	5480
"Stein.Stein1"	"GrN-4831"	"charcoal"	"nd"	"Stein"	"Neolithic"	"Limburger Mittelneolithikum"	50.95	5.75	"14C"	5480	90	"Lanting/Mook 1977, 69."	"neolithic"	"charcoal"	0.05	"#3058e5"	5480
"Steinabrunn.Steinabrunn"	"VERA-3297"	"nd"	"nd"	"Steinabrunn"	"Neolithic"	"Lengyel"	48.4991	16.2305	"14C"	6690	40	"Stadler 2005/2006"	"neolithic"	"unknown"	-0.05	"#990033"	5710
"Steinabrunn.Steinabrunn1"	"KN-2477"	"bone"	"nd"	"Steinabrunn"	"Neolithic"	"Baalberge"	48.4991	16.2305	"14C"	5710	80	""	"neolithic"	"bone"	0.05	"#3058e5"	6690
"Steinfürth 2.Steinfürth 2"	"UtC-1838"	"organic temper"	"nd"	"Steinfürth 2"	"Neolithic"	"Linienbandkeramik"	50.4	2.7607	"14C"	8080	70	"Stäuble 1994"	"neolithic"	"other"	-0.05	"#990033"	6920
"Steinfürth 2.Steinfürth 21"	"Hd-14135"	"bone"	"bos primig."	"Steinfürth 2"	"Neolithic"	"Linienbandkeramik"	50.4	2.7607	"14C"	6920	130	"Stäuble 1994"	"neolithic"	"bone"	0.05	"#3058e5"	8080
"Steinhagen.Steinhagen"	"OxA-2921"	"bone"	"human"	"Steinhagen"	"nd"	"nd"	53.8666	11.9	"14C"	7450	90	"Bradtmöller 2007"	"other"	"bone"	-0.05	"#990033"	7450
"Steinhagen.Steinhagen1"	"OxA-2921"	"bone"	"human"	"Steinhagen"	"nd"	"nd"	53.8666	11.9	"14C"	7450	90	"Bradtmöller 2007"	"other"	"bone"	0.05	"#3058e5"	7450
"Steinhausen - Sennweid.Steinhausen - Sennweid"	"ARC-303"	"wood"	"nd"	"Steinhausen - Sennweid"	"Neolithic"	"Horgen"	47.189	8.4846	"14C"	5350	90	""	"neolithic"	"other"	-0.05	"#990033"	4640
"Steinhausen - Sennweid.Steinhausen - Sennweid1"	"ARC-218"	"charcoal"	"nd"	"Steinhausen - Sennweid"	"Neolithic"	"Horgen"	47.189	8.4846	"14C"	4640	140	""	"neolithic"	"charcoal"	0.05	"#3058e5"	5350
"Stellmoor.Stellmoor"	"K-4581"	"bone"	"reindeer"	"Stellmoor"	"Epipalaeolithic "	"Ahrensburgian"	53.6	10.2166	"14C"	11520	190	"Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125, Brandlund"	"epipalaeolithic"	"bone"	-0.05	"#990033"	5840
"Stellmoor.Stellmoor1"	"OxA-2872"	"bone"	"bison"	"Stellmoor"	"Epipalaeolithic "	"Ahrensburgian"	53.6	10.2166	"14C"	5840	80	""	"epipalaeolithic"	"bone"	0.05	"#3058e5"	11520
"Stemmern.Stemmern"	"GrN-23314"	"bone"	"human"	"Stemmern"	"Neolithic"	"Baalberge"	51.9969	11.5726	"14C"	5610	30	"Müller 2001, 84; 496"	"neolithic"	"bone"	-0.05	"#990033"	5380
"Stemmern.Stemmern1"	"KIA-3104"	"bone"	"human"	"Stemmern"	"Neolithic"	"Baalberge"	51.9969	11.5726	"14C"	5380	60	"Müller 2001, 84; 496"	"neolithic"	"bone"	0.05	"#3058e5"	5610
"Stenbocksvallar.Stenbocksvallar"	"Lu-2198"	"charcoal"	"nd"	"Stenbocksvallar"	"Meso/Neo"	"Ertebølle"	55.7633	12.9098	"14C"	6150	120	"Kiel DB 2013"	"other"	"charcoal"	-0.05	"#990033"	6150
"Stenbocksvallar.Stenbocksvallar1"	"Lu-2198"	"charcoal"	"nd"	"Stenbocksvallar"	"Meso/Neo"	"Ertebølle"	55.7633	12.9098	"14C"	6150	120	"Kiel DB 2013"	"other"	"charcoal"	0.05	"#3058e5"	6150
"Stenby mölle.Stenby mölle"	"K-5496"	"charcoal"	"nd"	"Stenby mölle"	"nd"	"nd"	59.05	17.783	"14C"	5040	160	""	"other"	"charcoal"	-0.05	"#990033"	4770
"Stenby mölle.Stenby mölle1"	"K-5495"	"charcoal"	"nd"	"Stenby mölle"	"nd"	"nd"	59.05	17.783	"14C"	4770	130	""	"other"	"charcoal"	0.05	"#3058e5"	5040
"Stendis.Stendis"	"K-2296"	"charcoal"	"nd"	"Stendis"	"nd"	"Nordic Late Neolithic"	56.417	8.833	"14C"	4100	150	"Skov 1982, 43"	"other"	"charcoal"	-0.05	"#990033"	3730
"Stendis.Stendis1"	"K-2297"	"charcoal"	"nd"	"Stendis"	"nd"	"nd"	56.417	8.833	"14C"	3730	130	""	"other"	"charcoal"	0.05	"#3058e5"	4100
"St FÃ¶rÃ¶.St FÃ¶rÃ¶"	"Lu-1260"	"bone"	"nd"	"St FÃ¶rÃ¶"	"Neolithic"	"Grübchenkeramik"	57.6278	11.8472	"14C"	4380	100	"Kiel DB 3842"	"neolithic"	"bone"	-0.05	"#990033"	4380
"St FÃ¶rÃ¶.St FÃ¶rÃ¶1"	"Lu-1260"	"bone"	"nd"	"St FÃ¶rÃ¶"	"Neolithic"	"Grübchenkeramik"	57.6278	11.8472	"14C"	4380	100	"Kiel DB 3842"	"neolithic"	"bone"	0.05	"#3058e5"	4380
"St Herrestad 68:103.St Herrestad 68:103"	"Lu-2548"	"charcoal"	"nd"	"St Herrestad 68:103"	"Neolithic"	"nd"	55.4667	13.8667	"14C"	2850	60	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	2850
"St Herrestad 68:103.St Herrestad 68:1031"	"Lu-2548"	"charcoal"	"nd"	"St Herrestad 68:103"	"Neolithic"	"nd"	55.4667	13.8667	"14C"	2850	60	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	2850
"Stillfried.Stillfried"	"VERA-851"	"charcoal?"	"canis lupus familiarus"	"Stillfried"	"Neolithic"	"Classical Baden"	48.4108	16.845	"14C"	5390	60	"Stadler 2001"	"neolithic"	"other"	-0.05	"#990033"	5360
"Stillfried.Stillfried1"	"VERA-850"	"charcoal"	"nd"	"Stillfried"	"Neolithic"	"Classical Baden"	48.4108	16.845	"14C"	5360	70	"Stadler 2001"	"neolithic"	"charcoal"	0.05	"#3058e5"	5390
"St. Léonard.St. Léonard"	"B-232"	"wood"	"nd"	"St. Léonard"	"Neolithic"	"Cortaillod"	46.25	7.41	"14C"	5460	110	"Gfeller et al. 1961, 23"	"neolithic"	"other"	-0.05	"#990033"	5460
"St. Léonard.St. Léonard1"	"B-232"	"wood"	"nd"	"St. Léonard"	"Neolithic"	"Cortaillod"	46.25	7.41	"14C"	5460	110	"Gfeller et al. 1961, 23"	"neolithic"	"other"	0.05	"#3058e5"	5460
"St Mafrids.St Mafrids"	"Ua-3250"	"bone"	"nd"	"St Mafrids"	"Neolithic"	"nd"	57.45	18.1833	"14C"	6040	100	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	4870
"St Mafrids.St Mafrids1"	"Ua-3249"	"bone"	"nd"	"St Mafrids"	"Neolithic"	"nd"	57.45	18.1833	"14C"	4870	40	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	6040
"St Malmtorp.St Malmtorp"	"St-9882"	"nd"	"nd"	"St Malmtorp"	"Neolithic"	"nd"	59.1721	17.7976	"14C"	4380	110	"Kiel DB 2013"	"neolithic"	"unknown"	-0.05	"#990033"	4380
"St Malmtorp.St Malmtorp1"	"St-9882"	"nd"	"nd"	"St Malmtorp"	"Neolithic"	"nd"	59.1721	17.7976	"14C"	4380	110	"Kiel DB 2013"	"neolithic"	"unknown"	0.05	"#3058e5"	4380
"St. Mihiel.St. Mihiel"	"Mc-573"	"charcoal"	"nd"	"St. Mihiel"	"nd"	"nd"	48.8	5.5333	"14C"	4600	130	"Breunig 1987, 195"	"other"	"charcoal"	-0.05	"#990033"	4600
"St. Mihiel.St. Mihiel1"	"Mc-573"	"charcoal"	"nd"	"St. Mihiel"	"nd"	"nd"	48.8	5.5333	"14C"	4600	130	"Breunig 1987, 195"	"other"	"charcoal"	0.05	"#3058e5"	4600
"Stolpe 11.Stolpe 11"	"UtC--9738"	"bone"	"human"	"Stolpe 11"	"Neolithic"	"Trichterbecher-North Group"	53.8725	13.5606	"14C"	5510	60	"Kiel DB 3145"	"neolithic"	"bone"	-0.05	"#990033"	5510
"Stolpe 11.Stolpe 111"	"UtC--9738"	"bone"	"human"	"Stolpe 11"	"Neolithic"	"Trichterbecher-North Group"	53.8725	13.5606	"14C"	5510	60	"Kiel DB 3145"	"neolithic"	"bone"	0.05	"#3058e5"	5510
"Stonehenge.Stonehenge"	"HAR-455"	"charcoal"	"pinus"	"Stonehenge"	"Epipalaeolithic"	"nd"	51.1736	-3.2575	"14C"	10270	260	"CBA Radiocarbon Index"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	2570
"Stonehenge.Stonehenge1"	"UB-3820"	"bone"	"human"	"Stonehenge"	"nd"	"nd"	51.1788	-1.8262	"14C"	2570	100	"Marshall 2012"	"other"	"bone"	0.05	"#3058e5"	10270
"Stoneyfield.Stoneyfield"	"SRR-431"	"charcoal"	"nd"	"Stoneyfield"	"nd"	"nd"	57.4818	-4.1902	"14C"	7780	180	"Ashmore, 2004"	"other"	"charcoal"	-0.05	"#990033"	5440
"Stoneyfield.Stoneyfield1"	"SRR-187"	"charcoal"	"nd"	"Stoneyfield"	"Neolithic"	"nd"	57.4818	-4.1902	"14C"	5440	130	"Ashmore, 2004"	"neolithic"	"charcoal"	0.05	"#3058e5"	7780
"Stoney Island.Stoney Island"	"OxA-2758"	"bone"	"nd"	"Stoney Island"	"Epipalaeolithic/Neolithic"	"nd"	53.0865	-8.2847	"14C"	7100	110	"M8104"	"other"	"bone"	-0.05	"#990033"	5930
"Stoney Island.Stoney Island1"	"OxA-2941"	"bone"	"nd"	"Stoney Island"	"Epipalaeolithic/Neolithic"	"nd"	53.0865	-8.2847	"14C"	5930	140	"M8104"	"other"	"bone"	0.05	"#3058e5"	7100
"Stora Förvar.Stora Förvar"	"Ua-3132"	"bone"	"nd"	"Stora Förvar"	"Neolithic"	"nd"	57.2839	17.9736	"14C"	9590	160	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	4630
"Stora Förvar.Stora Förvar1"	"Ua-2934"	"bone"	"nd"	"Stora Förvar"	"Neolithic"	"nd"	57.2839	17.9736	"14C"	4630	140	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	9590
"Stora Mafrids.Stora Mafrids"	"nd"	"bone"	"nd"	"Stora Mafrids"	"nd"	"nd"	59.717	15.133	"14C"	6040	100	""	"other"	"bone"	-0.05	"#990033"	4860
"Stora Mafrids.Stora Mafrids1"	"b"	"bone"	"nd"	"Stora Mafrids"	"nd"	"nd"	59.717	15.133	"14C"	4860	120	""	"other"	"bone"	0.05	"#3058e5"	6040
"Storkow.Storkow"	"Bln-3992"	"bone"	"human"	"Storkow"	"Bronze  Age"	"Schnurkeramik"	53.3167	14.2833	"14C"	4000	80	"Rassmann 2001, 278"	"bronzeage"	"bone"	-0.05	"#990033"	4000
"Storkow.Storkow1"	"Bln-3992"	"bone"	"human"	"Storkow"	"Bronze  Age"	"Schnurkeramik"	53.3167	14.2833	"14C"	4000	80	"Rassmann 2001, 278"	"bronzeage"	"bone"	0.05	"#3058e5"	4000
"Stotternheim.Stotternheim"	"Ki-4157"	"bone"	"human"	"Stotternheim"	"Bronze  Age"	"Schnurkeramik"	51.057	11.047	"14C"	4360	70	"Müller 1999, 87"	"bronzeage"	"bone"	-0.05	"#990033"	4190
"Stotternheim.Stotternheim1"	"Ki-4154"	"bone"	"human"	"Stotternheim"	"Bronze  Age"	"Schnurkeramik"	51.057	11.047	"14C"	4190	80	"Müller 1999, 87"	"bronzeage"	"bone"	0.05	"#3058e5"	4360
"Strachów 2.Strachów 2"	"Bln-1790B"	"nd"	"nd"	"Strachów 2"	"Neolithic"	"Linienbandkeramik"	50.9086	16.7858	"14C"	7100	130	"Breunig 1987, 125"	"neolithic"	"unknown"	-0.05	"#990033"	6890
"Strachów 2.Strachów 21"	"Bln-1788"	"nd"	"nd"	"Strachów 2"	"Neolithic"	"Linienbandkeramik"	50.9086	16.7858	"14C"	6890	90	"Breunig 1987, 125"	"neolithic"	"unknown"	0.05	"#3058e5"	7100
"Stralsund 225 - Mischwasserspeicher.Stralsund 225 - Mischwasserspeicher"	"KIA-20436"	"nd"	"nd"	"Stralsund 225 - Mischwasserspeicher"	"Meso/Neo"	"Ertebølle"	54.3187	13.0919	"14C"	6850	50	"Kiel DB 3154"	"other"	"unknown"	-0.05	"#990033"	5520
"Stralsund 225 - Mischwasserspeicher.Stralsund 225 - Mischwasserspeicher1"	"KIA-20433"	"wood"	"nd"	"Stralsund 225 - Mischwasserspeicher"	"Neolithic"	"Trichterbecher-North Group"	54.3187	13.0919	"14C"	5520	40	"Kiel DB 3151"	"neolithic"	"other"	0.05	"#3058e5"	6850
"Straß im Straßertale.Straß im Straßertale"	"VERA-893"	"bone"	"sus scrofa"	"Straß im Straßertale"	"Neolithic"	"Baden"	48.4724	15.735	"14C"	5170	90	"Stadler 2000"	"neolithic"	"bone"	-0.05	"#990033"	5170
"Straß im Straßertale.Straß im Straßertale1"	"VERA-893"	"bone"	"sus scrofa"	"Straß im Straßertale"	"Neolithic"	"Baden"	48.4724	15.735	"14C"	5170	90	"Stadler 2000"	"neolithic"	"bone"	0.05	"#3058e5"	5170
"Straußfurt.Straußfurt"	"Ki-4158"	"bone"	"nd"	"Straußfurt"	"Bronze  Age"	"Schnurkeramik"	51.1667	10.9833	"14C"	4420	80	"Müller 1999, 88"	"bronzeage"	"bone"	-0.05	"#990033"	4420
"Straußfurt.Straußfurt1"	"Ki-4158"	"bone"	"nd"	"Straußfurt"	"Bronze  Age"	"Schnurkeramik"	51.1667	10.9833	"14C"	4420	80	"Müller 1999, 88"	"bronzeage"	"bone"	0.05	"#3058e5"	4420
"Strawberry Hill.Strawberry Hill"	"OxA-3040"	"charcoal"	"nd"	"Strawberry Hill"	"Epipalaeolithic"	"nd"	51.2633	-0.5723	"14C"	10570	180	"CBA Radiocarbon Index"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7690
"Strawberry Hill.Strawberry Hill1"	"OxA-3041"	"shell"	"Cepaea"	"Strawberry Hill"	"Epipalaeolithic"	"nd"	51.2633	-0.5723	"14C"	7690	110	"CBA Radiocarbon Index"	"epipalaeolithic"	"other"	0.05	"#3058e5"	10570
"Street House Farm.Street House Farm"	"BM-2061"	"charcoal"	"nd"	"Street House Farm"	"Neolithic"	"nd"	54.5661	-0.8615	"14C"	5810	70	"British Museum XVI, 43"	"neolithic"	"charcoal"	-0.05	"#990033"	5140
"Street House Farm.Street House Farm1"	"BM-2060"	"charcoal"	"nd"	"Street House Farm"	"Neolithic"	"nd"	54.5661	-0.8615	"14C"	5140	180	"British Museum XVI, 43"	"neolithic"	"charcoal"	0.05	"#3058e5"	5810
"Strepy, Mons.Strepy, Mons"	"OxA-3196"	"bone"	"human"	"Strepy, Mons"	"nd"	"nd"	50.48	4.017	"14C"	5550	90	"Oxford Date List 16"	"other"	"bone"	-0.05	"#990033"	5550
"Strepy, Mons.Strepy, Mons1"	"OxA-3196"	"bone"	"human"	"Strepy, Mons"	"nd"	"nd"	50.48	4.017	"14C"	5550	90	"Oxford Date List 16"	"other"	"bone"	0.05	"#3058e5"	5550
"Strette.Strette"	"Ly-2837"	"charcoal"	"nd"	"Strette"	"Epipalaeolithic"	"nd"	42.7	9.3166	"14C"	10310	430	"Gehlen 2010"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7250
"Strette.Strette1"	"Ly-2835"	"charcoal"	"nd"	"Strette"	"Neolithic"	"Cardial"	42.7	9.3166	"14C"	7250	310	"Linstädter 2004"	"neolithic"	"charcoal"	0.05	"#3058e5"	10310
"Stri'chaia skelia.Stri'chaia skelia"	"Ki-2948"	"nd"	"nd"	"Stri'chaia skelia"	"nd"	"Surska"	48.2038	34.9362	"14C"	6140	100	"Telegin 2003"	"other"	"unknown"	-0.05	"#990033"	6140
"Stri'chaia skelia.Stri'chaia skelia1"	"Ki-2948"	"nd"	"nd"	"Stri'chaia skelia"	"nd"	"Surska"	48.2038	34.9362	"14C"	6140	100	"Telegin 2003"	"other"	"unknown"	0.05	"#3058e5"	6140
"Strilcha Skelya.Strilcha Skelya"	"Ki-2970"	" nd"	"nd"	"Strilcha Skelya"	"nd"	"nd"	48.2038	34.9362	"14C"	6060	110	"Wechler 2001"	"other"	"unknown"	-0.05	"#990033"	5230
"Strilcha Skelya.Strilcha Skelya1"	"Ki-2933"	" nd"	"nd"	"Strilcha Skelya"	"nd"	"nd"	48.2038	34.9362	"14C"	5230	130	"Wechler 2001"	"other"	"unknown"	0.05	"#3058e5"	6060
"Strögen.Strögen"	"VERA-731"	"grain"	"nd"	"Strögen"	"Neolithic"	"nd"	48.671	15.602	"14C"	7410	60	"Stäuble, 2001. 434 ff"	"neolithic"	"other"	-0.05	"#990033"	7210
"Strögen.Strögen1"	"VERA-1591"	"charcoal"	"fraxinus"	"Strögen"	"Neolithic"	"nd"	48.671	15.602	"14C"	7210	40	"Stäuble, 2001. 434 ff"	"neolithic"	"charcoal"	0.05	"#3058e5"	7410
"Strumsko.Strumsko"	"Bln-2612"	"charcoal"	"nd"	"Strumsko"	"Neolithic"	"Late Neolithic/Early Eneolithic"	41.9833	23.0833	"14C"	6830	70	"Görsdorf 1996"	"neolithic"	"charcoal"	-0.05	"#990033"	6790
"Strumsko.Strumsko1"	"Bln-2611"	"charcoal"	"nd"	"Strumsko"	"Neolithic"	"Neolithic"	41.9833	23.0833	"14C"	6790	80	"Görsdorf 1996"	"neolithic"	"charcoal"	0.05	"#3058e5"	6830
"Stryczowice.Stryczowice"	"Lod-61"	"nd"	"nd"	"Stryczowice"	"Neolithic"	"Lengyel-Polgár"	50.8667	21.7167	"14C"	6170	260	"Breunig 1987, 157"	"neolithic"	"unknown"	-0.05	"#990033"	4830
"Stryczowice.Stryczowice1"	"Lod-62"	"nd"	"nd"	"Stryczowice"	"Neolithic"	"Trichterbecher-East Group"	50.8667	21.7167	"14C"	4830	270	"Breunig 1987, 160f."	"neolithic"	"unknown"	0.05	"#3058e5"	6170
"Strzelce.Strzelce"	"GrN-5087"	"charcoal"	"nd"	"Strzelce"	"Neolithic"	"Linienbandkeramik"	50.8667	21.7167	"14C"	7160	90	"Vogel 1972"	"neolithic"	"charcoal"	-0.05	"#990033"	7160
"Strzelce.Strzelce1"	"GrN-5087"	"charcoal"	"nd"	"Strzelce"	"Neolithic"	"Linienbandkeramik"	50.8667	21.7167	"14C"	7160	90	"Vogel 1972"	"neolithic"	"charcoal"	0.05	"#3058e5"	7160
"Stúrovo.Stúrovo"	"Bln-559"	"charcoal"	"Quercus"	"Stúrovo"	"Neolithic"	"Linienbandkeramik"	47.8	18.7333	"14C"	7150	130	"Berlin Date List IV"	"neolithic"	"charcoal"	-0.05	"#990033"	6370
"Stúrovo.Stúrovo1"	"Bln-557"	"charcoal"	"Quercus"	"Stúrovo"	"Neolithic"	"Linienbandkeramik"	47.8	18.7333	"14C"	6370	120	"Berlin Date List IV"	"neolithic"	"charcoal"	0.05	"#3058e5"	7150
"Štúrovo.Štúrovo"	"Bln-558"	"charcoal"	"quercus"	"Štúrovo"	"Neolithic"	"Želiezovce"	47.7949	18.7175	"14C"	7060	130	"Kohl 1970"	"neolithic"	"charcoal"	-0.05	"#990033"	6370
"Štúrovo.Štúrovo1"	"Bln-557"	"charcoal"	"quercus"	"Štúrovo"	"Neolithic"	"Želiezovce ?"	47.7949	18.7175	"14C"	6370	120	"Kohl 1970"	"neolithic"	"charcoal"	0.05	"#3058e5"	7060
"Sturup 1:88.Sturup 1:88"	"Lu-1864"	"charcoal"	"nd"	"Sturup 1:88"	"Neolithic"	"nd"	55.5333	13.35	"14C"	3690	120	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	3480
"Sturup 1:88.Sturup 1:881"	"Lu-1865"	"charcoal"	"nd"	"Sturup 1:88"	"Neolithic"	"nd"	55.5333	13.35	"14C"	3480	70	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	3690
"Stuttgart-Bad Cannstatt.Stuttgart-Bad Cannstatt"	"UtC-5450"	"organic temper"	"nd"	"Stuttgart-Bad Cannstatt"	"nd"	"nd"	48.8055	9.2253	"14C"	7300	60	"Gehlen 2010"	"other"	"other"	-0.05	"#990033"	7300
"Stuttgart-Bad Cannstatt.Stuttgart-Bad Cannstatt1"	"UtC-5450"	"organic temper"	"nd"	"Stuttgart-Bad Cannstatt"	"nd"	"nd"	48.8055	9.2253	"14C"	7300	60	"Gehlen 2010"	"other"	"other"	0.05	"#3058e5"	7300
