""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Tully.Tully1"	"UB-2116"	"Tully"	54.4531	-7.81	5090	"H124561"	0.05	"#3058e5"	5640
"Tulstrup mose"	"OxA-1326"	"Tulstrup mose"	56.483	10.55	5490	""	0.05	"#3058e5"	5490
"Tumulus des La Hoguette.Tumulus des La Hoguette"	"Ly-421"	"Tumulus des La Hoguette"	49.1	-0.3666	5930	"Lyon Datelist III"	-0.05	"#FF3300"	5240
"Tumulus des La Hoguette.Tumulus des La Hoguette1"	"Ly-132"	"Tumulus des La Hoguette"	49.1	-0.3666	5240	"Lyon Datelist III"	0.05	"#3058e5"	5930
"Tumulus E, n° 1"	"Ly-864"	"Tumulus E, n° 1"	45.4333	4.15	5910	"Lyon Datelist VI"	0.05	"#3058e5"	5910
"Tureng Tepe.Tureng Tepe"	"Ly-97"	"Tureng Tepe"	36.9166	54.5833	5210	"Lyon Datelist II"	-0.05	"#FF3300"	4580
"Tureng Tepe.Tureng Tepe1"	"Gif-302"	"Tureng Tepe"	36.9166	54.5833	4580	"Lyon Datelist II"	0.05	"#3058e5"	5210
"Turlu"	"M-1844/-1844a"	"Turlu"	37.04	37.85	7280	"Crane and Griffin 1972, 191"	0.05	"#3058e5"	7280
"Turó de Can Bellsolà"	"AA-19187"	"Turó de Can Bellsolà"	41.517	1.622	7140	"Hidalgo 2010"	0.05	"#3058e5"	7140
"Tušimice"	"Bln-239"	"Tušimice"	50.3833	13.3667	5470	"Berlin Date List II "	0.05	"#3058e5"	5470
"Tustrup.Tustrup"	"K-1763"	"Tustrup"	56.483	10.55	5380	""	-0.05	"#FF3300"	5050
"Tustrup.Tustrup1"	"K-718"	"Tustrup"	56.4833	10.5166	5050	"Tauber 1966, 109; Kjærum 1955."	0.05	"#3058e5"	5380
"Tuve Tången"	"St-2404"	"Tuve Tången"	57.763	11.9348	5470	"Kiel DB 2013"	0.05	"#3058e5"	5470
"Tüzköves.Tüzköves"	"Deb-1420"	"Tüzköves"	46.78	20.23	7000	"Yerkes 2009"	-0.05	"#FF3300"	6600
"Tüzköves.Tüzköves1"	"Deb-1221"	"Tüzköves"	46.78	20.23	6600	"Yerkes 2009"	0.05	"#3058e5"	7000
"Tűzköves.Tűzköves"	"BM-2323"	"Tűzköves"	46.78	20.23	7030	"Ambers, J. - Matthews, K. - Bowman, S. (1987). British Museum Natural Radiocarbon Measurements XX. Radiocarbon, Vol 29, 177-196."	-0.05	"#FF3300"	7030
"Tűzköves.Tűzköves1"	"BM-2323"	"Tűzköves"	46.78	20.23	7030	"Ambers, J. - Matthews, K. - Bowman, S. (1987). British Museum Natural Radiocarbon Measurements XX. Radiocarbon, Vol 29, 177-196."	0.05	"#3058e5"	7030
"Twann.Twann"	"B-2963"	"Twann"	47.097	7.1566	5880	"Breunig 1987, 201"	-0.05	"#FF3300"	5130
"Twann.Twann1"	"B-3231"	"Twann"	47.097	7.1566	5130	"Furger 1980, 211"	0.05	"#3058e5"	5880
"Tybrind Vig.Tybrind Vig"	"K-4150"	"Tybrind Vig"	55.3909	9.8143	7300	""	-0.05	"#FF3300"	6050
"Tybrind Vig.Tybrind Vig1"	"K-3557"	"Tybrind Vig"	55.3909	9.8143	6050	""	0.05	"#3058e5"	7300
"Tyttinge"	"Beta-37682"	"Tyttinge"	59.1667	17.75	5790	"Kiel DB 2013"	0.05	"#3058e5"	5790
"Uelsen"	"GrN-6713"	"Uelsen"	52.5	6.8833	5560	"Kiel DB 3209"	0.05	"#3058e5"	5560
"Uhyst"	"Bln-3686"	"Uhyst"	51.3667	14.5167	6460	"Wechler 1993, 64"	0.05	"#3058e5"	6460
"Uivar.Uivar"	"Hd-22735"	"Uivar"	45.67	20.9	6860	"Luca 2009"	-0.05	"#FF3300"	6530
"Uivar.Uivar1"	"Hd-22930"	"Uivar"	45.67	20.9	6530	"Luca 2009"	0.05	"#3058e5"	6860
"Ujrat el-Mehed 1"	"Pta-2703"	"Ujrat el-Mehed 1"	28.57	33.93	9200	"--"	0.05	"#3058e5"	9200
"Ulft"	"UtC-2643"	"Ulft"	51.9581	6.3781	10900	"Niekus 2005/2006"	0.05	"#3058e5"	10900
"Ulkestrup II.Ulkestrup II"	"K-1509"	"Ulkestrup II"	55.59	11.544	8940	"Copenhagen X, 89 "	-0.05	"#FF3300"	8910
"Ulkestrup II.Ulkestrup II1"	"K-1508"	"Ulkestrup II"	55.59	11.544	8910	"Copenhagen X, 89 "	0.05	"#3058e5"	8940
"Ulkestrup Lyng.Ulkestrup Lyng"	"K-4979"	"Ulkestrup Lyng"	55.617	11.533	5320	""	-0.05	"#FF3300"	5320
"Ulkestrup Lyng.Ulkestrup Lyng1"	"K-4979"	"Ulkestrup Lyng"	55.617	11.533	5320	""	0.05	"#3058e5"	5320
"Ullstorp"	"Lu-2554"	"Ullstorp"	55.533	13.983	4260	"Kiel DB 2013"	0.05	"#3058e5"	4260
"Ulm-Eggingen.Ulm-Eggingen"	"Hv-14727"	"Ulm-Eggingen"	48.3634	9.879	7260	"Dombek 1989, 408, Tab. 179, 410ff"	-0.05	"#FF3300"	6060
"Ulm-Eggingen.Ulm-Eggingen1"	"Hv-14736"	"Ulm-Eggingen"	48.3634	9.879	6060	"Dombek 1989, 408, Tab. 179, 410ff"	0.05	"#3058e5"	7260
"Ulstrupgårds mark"	"K-1020"	"Ulstrupgårds mark"	55.6717	9.575	3700	"Lomborg 1973, 22"	0.05	"#3058e5"	3700
"Ulucak.Ulucak"	"Beta-250265"	"Ulucak"	38.49	27.33	8780	"Cilingiroglu 2009"	-0.05	"#FF3300"	7750
"Ulucak.Ulucak1"	"Beta-178748"	"Ulucak"	38.49	27.33	7750	"Derin et al. 2004, Reingruber and Thissen 2004-2005"	0.05	"#3058e5"	8780
"Ulva Cave.Ulva Cave"	"GU-2600"	"Ulva Cave"	56.4676	-6.1714	8470	"Ashmore, 2004"	-0.05	"#FF3300"	5750
"Ulva Cave.Ulva Cave1"	"GU-2707"	"Ulva Cave"	56.4676	-6.1714	5750	"Telford 2002"	0.05	"#3058e5"	8470
"Ulvemose"	"K-6306"	"Ulvemose"	55.063	9.1058	5250	"Koch 1998, 376."	0.05	"#3058e5"	5250
"Ülvesheim"	"Fra-97"	"Ülvesheim"	49.6667	9.3333	6440	"Kiel DB 3235"	0.05	"#3058e5"	6440
"Umm al-Qaab.Umm al-Qaab"	"Hd-13054-12926"	"Umm al-Qaab"	26.1833	31.9166	5180	"Klimscha"	-0.05	"#FF3300"	5080
"Umm al-Qaab.Umm al-Qaab1"	"Hd-13053-12912"	"Umm al-Qaab"	26.1833	31.9166	5080	"Klimscha"	0.05	"#3058e5"	5180
"Underlies presumptive Neo earthen long barrow"	"HAR-8544"	"Underlies presumptive Neo earthen long barrow"	50.9124	-3.4439	9290	"CBA Radiocarbon Index"	0.05	"#3058e5"	9290
"Unseburg"	"OxA-2918"	"Unseburg"	51.9167	11.5333	8480	"Oxford Date List 15"	0.05	"#3058e5"	8480
"Unterlanzendorf.Unterlanzendorf"	"VERA-1915"	"Unterlanzendorf"	48.1	16.421	6100	"Stadler 2006"	-0.05	"#FF3300"	4190
"Unterlanzendorf.Unterlanzendorf1"	"VERA-1918"	"Unterlanzendorf"	48.1	16.421	4190	"Stadler 2005/2006"	0.05	"#3058e5"	6100
"Unterpullendorf.Unterpullendorf"	"VRI-104A"	"Unterpullendorf"	47.5	41.41	6780	""	-0.05	"#FF3300"	6780
"Unterpullendorf.Unterpullendorf1"	"VRI-104A"	"Unterpullendorf"	47.5	41.41	6780	""	0.05	"#3058e5"	6780
"Unterwölbing"	"KN-2529"	"Unterwölbing"	48.3333	41.44	6600	"Stadler 1995"	0.05	"#3058e5"	6600
"Unterwölbling "	"VERA-901"	"Unterwölbling "	48.3246	15.607	6730	"Stadler 2006"	0.05	"#3058e5"	6730
"Upper Largie.Upper Largie"	"AA-43021"	"Upper Largie"	56.1394	-5.4883	6340	"Ashmore, 2004"	-0.05	"#FF3300"	5560
"Upper Largie.Upper Largie1"	"AA-43016"	"Upper Largie"	56.1394	-5.4883	5560	"Ashmore, 2004"	0.05	"#3058e5"	6340
"Uqair A"	"P-1498"	"Uqair A"	32.71	44.92	7490	"Lawn 1973, 372"	0.05	"#3058e5"	7490
"Ur.Ur"	"P-724"	"Ur"	31.04	46.1	4410	"Stuckenrath and Ralph 1965, 190"	-0.05	"#FF3300"	3660
"Ur.Ur1"	"BM-76"	"Ur"	31.04	46.1	3660	"Barker and Mackey 1961, 43"	0.05	"#3058e5"	4410
"Urdoviza.Urdoviza"	"Bln-4111"	"Urdoviza"	42.25	27.7666	4710	"Görsdorf 1996"	-0.05	"#FF3300"	4440
"Urdoviza.Urdoviza1"	"Bln-4114"	"Urdoviza"	42.25	27.7666	4440	"Görsdorf 1996"	0.05	"#3058e5"	4710
"Urk-E4.Urk-E4"	"GrN-25690"	"Urk-E4"	52.6302	5.6069	8000	"Niekus 2005/2006"	-0.05	"#FF3300"	7170
"Urk-E4.Urk-E41"	"GrN-25687"	"Urk-E4"	52.6302	5.6069	7170	"Niekus 2005/2006"	0.05	"#3058e5"	8000
"Urmia"	"P-866"	"Urmia"	37.7	45.8	6220	"Marshall 2012: 248"	0.05	"#3058e5"	6220
"Urratxa.Urratxa"	"Ua-11434"	"Urratxa"	43.1295	-2.9397	7790	"Gehlen 2010"	-0.05	"#FF3300"	7790
"Urratxa.Urratxa1"	"Ua-11434"	"Urratxa"	43.1295	-2.9397	7790	"Gehlen 2010"	0.05	"#3058e5"	7790
"Usatovo.Usatovo"	"Ki-11459"	"Usatovo"	46.31	30.4	5160	"Lazarovici 2010"	-0.05	"#FF3300"	4820
"Usatovo.Usatovo1"	"Ki-11458"	"Usatovo"	46.31	30.4	4820	"Lazarovici 2010"	0.05	"#3058e5"	5160
"Usingen.Usingen"	"KIA-12427"	"Usingen"	50.3333	8.5333	7040	"Kiel DB 3236"	-0.05	"#FF3300"	6800
"Usingen.Usingen1"	"KIA-12428"	"Usingen"	50.3333	8.5333	6800	"Kiel DB 3237"	0.05	"#3058e5"	7040
"Uskmouth"	"CAR-1178"	"Uskmouth"	51.5325	-2.9588	7150	"CBA Radiocarbon Index"	0.05	"#3058e5"	7150
"Uskmouth  "	"OxA-4574"	"Uskmouth  "	51.5325	-2.9588	7080	"CBA Radiocarbon Index"	0.05	"#3058e5"	7080
"Uskmouth 8"	"OxA-3307"	"Uskmouth 8"	51.5325	-2.9588	7030	"CBA Radiocarbon Index"	0.05	"#3058e5"	7030
"Utkonosovka"	"Ki-660"	"Utkonosovka"	45.29	28.57	5480	"Bojadziev 1998"	0.05	"#3058e5"	5480
"Vaassen.Vaassen"	"GrN-5497"	"Vaassen"	52.2894	5.9683	4340	"Lanting/Mook 1977, 92."	-0.05	"#FF3300"	3850
"Vaassen.Vaassen1"	"GrN-5496"	"Vaassen"	52.2894	5.9683	3850	"Lanting/Mook 1977, 97."	0.05	"#3058e5"	4340
"Vadbron II.Vadbron II"	"Ua-1187"	"Vadbron II"	60.0136	17.4187	5090	"Kiel DB 2013"	-0.05	"#FF3300"	1970
"Vadbron II.Vadbron II1"	"St-5592"	"Vadbron II"	60.0136	17.4187	1970	"Kiel DB 2013"	0.05	"#3058e5"	5090
"Vadgård.Vadgård"	"K-4295"	"Vadgård"	56.9117	9.2977	3510	"Rasmussen 1993, 87ff."	-0.05	"#FF3300"	3460
"Vadgård.Vadgård1"	"K-4294"	"Vadgård"	56.9117	9.2977	3460	"Rasmussen 1993, 87ff."	0.05	"#3058e5"	3510
"Vaengesö.Vaengesö"	"K-3920"	"Vaengesö"	56.1623	10.5346	6300	""	-0.05	"#FF3300"	6180
"Vaengesö.Vaengesö1"	"OxA-532"	"Vaengesö"	56.1623	10.5346	6180	""	0.05	"#3058e5"	6300
"Vaenget Nord .Vaenget Nord "	"K-2908"	"Vaenget Nord "	55.512	12.3225	8060	"Sørensen 1996"	-0.05	"#FF3300"	5800
"Vaenget Nord .Vaenget Nord 1"	"K-3523"	"Vaenget Nord "	55.512	12.3225	5800	"Sørensen 1996"	0.05	"#3058e5"	8060
"Vailly-sur-Aisne"	"Sa-57"	"Vailly-sur-Aisne"	49.4	3.5166	6260	"Breunig 1987, 130"	0.05	"#3058e5"	6260
"Valbo 339.Valbo 339"	"Ua-4682"	"Valbo 339"	60.65	17.0333	4750	"Kiel DB 2013"	-0.05	"#FF3300"	4490
"Valbo 339.Valbo 3391"	"Ua-4683"	"Valbo 339"	60.65	17.0333	4490	"Kiel DB 2013"	0.05	"#3058e5"	4750
"Valbo 397.Valbo 397"	"Ua-4918"	"Valbo 397"	60.65	17.0333	5240	"Kiel DB 2013"	-0.05	"#FF3300"	5240
"Valbo 397.Valbo 3971"	"Ua-4918"	"Valbo 397"	60.65	17.0333	5240	"Kiel DB 2013"	0.05	"#3058e5"	5240
"Val-de-Reuil"	"Ly-6239"	"Val-de-Reuil"	49.26	1.24	9790	"Bosset 2010"	0.05	"#3058e5"	9790
"Valea Lupului"	"GrN-1982"	"Valea Lupului"	47.183	27.499	5700	"Laszlo 1997"	0.05	"#3058e5"	5700
"Vale Boi.Vale Boi"	"Wk-17842"	"Vale Boi"	37.0927	-8.8207	6980	"Carvalho 2008"	-0.05	"#FF3300"	6860
"Vale Boi.Vale Boi1"	"Wk-17843"	"Vale Boi"	37.0927	-8.8207	6860	"Carvalho 2008"	0.05	"#3058e5"	6980
"Vale Pincel .Vale Pincel "	"ICEN-724"	"Vale Pincel "	37.9818	-8.8387	7560	"Gehlen 2010"	-0.05	"#FF3300"	7290
"Vale Pincel .Vale Pincel 1"	"Beta-165945"	"Vale Pincel "	37.9818	-8.8387	7290	"Carvalho 2010"	0.05	"#3058e5"	7560
"Vale Santo 1"	"ICEN-873"	"Vale Santo 1"	37.029	-8.9415	7480	"Cavalho 2008"	0.05	"#3058e5"	7480
"Valleberga.Valleberga"	"Lu-1417"	"Valleberga"	55.9833	12.9333	4220	"Kiel DB 2013"	-0.05	"#FF3300"	4220
"Valleberga.Valleberga1"	"Lu-1417"	"Valleberga"	55.9833	12.9333	4220	"Kiel DB 2013"	0.05	"#3058e5"	4220
"Vallon des Vaux.Vallon des Vaux"	"B-659A"	"Vallon des Vaux"	46.78	6.78	5920	"Suter and Schifferdecker 1986, 131"	-0.05	"#FF3300"	5660
"Vallon des Vaux.Vallon des Vaux1"	"GrN-5601"	"Vallon des Vaux"	46.78	6.78	5660	"Breunig 1987, 200"	0.05	"#3058e5"	5920
"Valthermond-Exloerkijl.Valthermond-Exloerkijl"	"GrN-28283"	"Valthermond-Exloerkijl"	52.91	6.9414	9460	"Niekus 2005/2006"	-0.05	"#FF3300"	6600
"Valthermond-Exloerkijl.Valthermond-Exloerkijl1"	"GrN-28278"	"Valthermond-Exloerkijl"	52.91	6.9414	6600	"Niekus 2005/2006"	0.05	"#3058e5"	9460
"Valtorp 1"	"GrA-14296"	"Valtorp 1"	58.2283	13.6473	5080	"Kiel DB 2013"	0.05	"#3058e5"	5080
"Valtorp 2.Valtorp 2"	"Ua-32614"	"Valtorp 2"	58.2296	13.6064	5520	"Kiel DB 2013"	-0.05	"#FF3300"	3800
"Valtorp 2.Valtorp 21"	"Ua-32612"	"Valtorp 2"	58.2296	13.6064	3800	"Kiel DB 2013"	0.05	"#3058e5"	5520
"Vamosgyörk.Vamosgyörk"	"VERA-904"	"Vamosgyörk"	47.685	19.925	4990	"Stadler 2001"	-0.05	"#FF3300"	4990
"Vamosgyörk.Vamosgyörk1"	"VERA-904"	"Vamosgyörk"	47.685	19.925	4990	"Stadler 2001"	0.05	"#3058e5"	4990
"VÃ¤rÃ¶ 202, Olas.VÃ¤rÃ¶ 202, Olas"	"GrA-17708"	"VÃ¤rÃ¶ 202, Olas"	57.2661	12.1571	8290	"Kiel DB 2013"	-0.05	"#FF3300"	4950
"VÃ¤rÃ¶ 202, Olas.VÃ¤rÃ¶ 202, Olas1"	"GrA-16558"	"VÃ¤rÃ¶ 202, Olas"	57.2661	12.1571	4950	"Kiel DB 2013"	0.05	"#3058e5"	8290
"Värby.Värby"	"Lu-10"	"Värby"	55.569	13.1902	5530	"Kiel DB 2013"	-0.05	"#FF3300"	5530
"Värby.Värby1"	"Lu-10"	"Värby"	55.569	13.1902	5530	"Kiel DB 2013"	0.05	"#3058e5"	5530
"VÃ¤rmland"	"St-10477"	"VÃ¤rmland"	56.8539	12.732	570	"Kiel DB 2013"	0.05	"#3058e5"	570
"Varna.Varna"	"OxA-13688"	"Varna"	43.2167	27.9167	6590	"Higham 2008"	-0.05	"#FF3300"	6350
"Varna.Varna1"	"OxA-13687"	"Varna"	43.2167	27.9167	6350	"Higham 2008"	0.05	"#3058e5"	6590
"Varvareuca"	"Bln-3190"	"Varvareuca"	47.879	28.311	5680	"Lazarovci"	0.05	"#3058e5"	5680
"Varvarovka"	"Ki-601"	"Varvarovka"	47.4177	28.6477	4980	"Bojadziev 1998"	0.05	"#3058e5"	4980
"Varvarovka 15"	"Bln-2480"	"Varvarovka 15"	47.4177	28.6477	5750	"Telegin 2003"	0.05	"#3058e5"	5750
"Várzea da Mó"	"ICEN-273"	"Várzea da Mó"	38.25	-8.34	7590	"Meiklejohn Portugal"	0.05	"#3058e5"	7590
"Vasilyevka II.Vasilyevka II"	"OxA-3804"	"Vasilyevka II"	49	35	8790	"Gehlen 2010"	-0.05	"#FF3300"	8440
"Vasilyevka II.Vasilyevka II1"	"OxA-3805"	"Vasilyevka II"	49	35	8440	"Gehlen 2010"	0.05	"#3058e5"	8790
"Vasilyevka III.Vasilyevka III"	"OxA-3807"	"Vasilyevka III"	49	35	11620	"Gehlen 2010"	-0.05	"#FF3300"	11510
"Vasilyevka III.Vasilyevka III1"	"OxA-3808"	"Vasilyevka III"	49	35	11510	"Gehlen 2010"	0.05	"#3058e5"	11620
"Vasse-De-Steenbrei"	"GrN-27344"	"Vasse-De-Steenbrei"	52.4611	6.8402	8690	"Niekus 2005/2006"	0.05	"#3058e5"	8690
"VÃ¤sterÃ¤ng.VÃ¤sterÃ¤ng"	"Ua-13624"	"VÃ¤sterÃ¤ng"	60.5753	17.1414	5450	"Kiel DB 2013"	-0.05	"#FF3300"	5450
"VÃ¤sterÃ¤ng.VÃ¤sterÃ¤ng1"	"Ua-13624"	"VÃ¤sterÃ¤ng"	60.5753	17.1414	5450	"Kiel DB 2013"	0.05	"#3058e5"	5450
"Västerbjärs.Västerbjärs"	"Ua-19404"	"Västerbjärs"	57.5833	18.7	4940	"Kiel DB 2013"	-0.05	"#FF3300"	2920
"Västerbjärs.Västerbjärs1"	"Ua-19401"	"Västerbjärs"	57.5833	18.7	2920	"Kiel DB 2013"	0.05	"#3058e5"	4940
"Vatte di Zambana.Vatte di Zambana"	"R-489"	"Vatte di Zambana"	46.1622	11.0769	8730	"Rome Datelist VII"	-0.05	"#FF3300"	8080
"Vatte di Zambana.Vatte di Zambana1"	"R-487A"	"Vatte di Zambana"	46.1622	11.0769	8080	"Rome Datelist VII"	0.05	"#3058e5"	8730
"Vätteryd.Vätteryd"	"U-47"	"Vätteryd"	56.02	13.68	5210	"Kiel DB 2013"	-0.05	"#FF3300"	5210
"Vätteryd.Vätteryd1"	"U-47"	"Vätteryd"	56.02	13.68	5210	"Kiel DB 2013"	0.05	"#3058e5"	5210
"Vaux-et-Bor"	"Lv-1910"	"Vaux-et-Bor"	50.6139	5.2319	7350	"Gilot, 1997"	0.05	"#3058e5"	7350
"Vaux-et-Borset.Vaux-et-Borset"	"OxA-6906"	"Vaux-et-Borset"	50.6137	5.2319	7090	"145,5 N 210,55 E"	-0.05	"#FF3300"	6880
"Vaux-et-Borset.Vaux-et-Borset1"	"OxA-6904"	"Vaux-et-Borset"	50.6137	5.2319	6880	"145,5 N 210,55 E"	0.05	"#3058e5"	7090
"Vedbaek Boldbaner.Vedbaek Boldbaner"	"K-3166"	"Vedbaek Boldbaner"	55.5378	12.3252	7520	"Sørensen 1996"	-0.05	"#FF3300"	7410
"Vedbaek Boldbaner.Vedbaek Boldbaner1"	"K-1303"	"Vedbaek Boldbaner"	55.5378	12.3252	7410	"Sørensen 1996"	0.05	"#3058e5"	7520
"Vedbaek Boldebaner.Vedbaek Boldebaner"	"K-1303a"	"Vedbaek Boldebaner"	55.85	12.567	7360	""	-0.05	"#FF3300"	7360
"Vedbaek Boldebaner.Vedbaek Boldebaner1"	"K-1303a"	"Vedbaek Boldebaner"	55.85	12.567	7360	""	0.05	"#3058e5"	7360
"Veddige 258"	"Ua-27592"	"Veddige 258"	57.2667	12.3167	5470	"Kiel DB 2013"	0.05	"#3058e5"	5470
"Vedmora.Vedmora"	"Ua-11407"	"Vedmora"	61.5333	16.95	4500	"Kiel DB 2013"	-0.05	"#FF3300"	4500
"Vedmora.Vedmora1"	"Ua-11407"	"Vedmora"	61.5333	16.95	4500	"Kiel DB 2013"	0.05	"#3058e5"	4500
"Veen"	"GrA-14080"	"Veen"	51.776	5.0944	4210	"Kiel DB 3244"	0.05	"#3058e5"	4210
"Vejlebro.Vejlebro"	"K-1206"	"Vejlebro"	55.4442	11.2717	7560	"Sørensen 1996"	-0.05	"#FF3300"	5950
"Vejlebro.Vejlebro1"	"K-1801"	"Vejlebro"	55.4442	11.2717	5950	""	0.05	"#3058e5"	7560
"Vela Špilja.Vela Špilja"	"VERA-2341"	"Vela Špilja"	42.968	16.7223	9160	"Radic 2013 Online"	-0.05	"#FF3300"	7820
"Vela Špilja.Vela Špilja1"	"nd"	"Vela Špilja"	42.968	16.7223	7820	"Müller 1991, 354"	0.05	"#3058e5"	9160
"Veldbæk"	"K-2118"	"Veldbæk"	55.467	8.517	4670	"Malmros and Tauber 1975, 83f."	0.05	"#3058e5"	4670
"Velké Hoštice.Velké Hoštice"	"GrN-13151"	"Velké Hoštice"	49.93	17.96	6180	"Pavelčík 1992"	-0.05	"#FF3300"	6180
"Velké Hoštice.Velké Hoštice1"	"GrN-13151"	"Velké Hoštice"	49.93	17.96	6180	"Pavelčík 1992"	0.05	"#3058e5"	6180
"Vendel.Vendel"	"Ua-14471"	"Vendel"	60.1667	17.6001	4720	"Kiel DB 2013"	-0.05	"#FF3300"	4450
"Vendel.Vendel1"	"Ua-14470"	"Vendel"	60.1667	17.6001	4450	"Kiel DB 2013"	0.05	"#3058e5"	4720
"Vendenheim"	"Ly-866"	"Vendenheim"	48.6688	7.7	5610	"Breunig 1987, 178"	0.05	"#3058e5"	5610
"Verberie"	"GrA-34097"	"Verberie"	49.34	2.75	9730	"Bosset 2010"	0.05	"#3058e5"	9730
"Verdelpino"	"CSIC-153B"	"Verdelpino"	40.08	-2.14	8820	"van Willigen 2006"	0.05	"#3058e5"	8820
"Vergne.Vergne"	"OxA-6698"	"Vergne"	45.93	-0.57	10260	"Bosset 2010"	-0.05	"#FF3300"	10260
"Vergne.Vergne1"	"OxA-6698"	"Vergne"	45.93	-0.57	10260	"Bosset 2010"	0.05	"#3058e5"	10260
"Verkhnaya.Verkhnaya"	"Ki-602"	"Verkhnaya"	47.48	34.38	4590	"Bojadziev 1998"	-0.05	"#FF3300"	4120
"Verkhnaya.Verkhnaya1"	"Ki-582"	"Verkhnaya"	47.48	34.38	4120	"Bojadziev 1998"	0.05	"#3058e5"	4590
"Verrebroeck.Verrebroeck"	"NZA-11016"	"Verrebroeck"	51.2667	4.2117	10650	"Radiocarbon Vol.43, Nr.2B, 2001, 997-1005"	-0.05	"#FF3300"	7170
"Verrebroeck.Verrebroeck1"	"UtC-7047"	"Verrebroeck"	51.2667	4.2117	7170	"Radiocarbon Vol.43, Nr.2B, 2001, 997-1005"	0.05	"#3058e5"	10650
"Verrebroek-Dok C21"	"KIK-1042 / UtC-8390"	"Verrebroek-Dok C21"	51.2553	4.1883	10360	"Van Strydonck e.a., 2001"	0.05	"#3058e5"	10360
"Vestenso"	"K-1529"	"Vestenso"	56.15	10.7166	4680	"Copenhagen X, 100"	0.05	"#3058e5"	4680
"Vester Nebel"	"K-1582"	"Vester Nebel"	55.55	9.4166	4670	"Copenhagen X"	0.05	"#3058e5"	4670
"Vesthimmerlands flyplads.Vesthimmerlands flyplads"	"K-3628"	"Vesthimmerlands flyplads"	56.7947	9.0594	4510	"Hansen 1993-94, 93f."	-0.05	"#FF3300"	4510
"Vesthimmerlands flyplads.Vesthimmerlands flyplads1"	"K-3628"	"Vesthimmerlands flyplads"	56.7947	9.0594	4510	"Hansen 1993-94, 93f."	0.05	"#3058e5"	4510
"Vesztö-Bikeri.Vesztö-Bikeri"	"Beta-162065"	"Vesztö-Bikeri"	46.89	21.25	6490	"Yerkes 2009"	-0.05	"#FF3300"	6090
"Vesztö-Bikeri.Vesztö-Bikeri1"	"Beta-179782"	"Vesztö-Bikeri"	46.89	21.25	6090	"Yerkes 2009"	0.05	"#3058e5"	6490
"Vesztö-Magor.Vesztö-Magor"	"Bln-1625"	"Vesztö-Magor"	46.9488	21.2034	7050	"Yerkes 2009"	-0.05	"#FF3300"	6810
"Vesztö-Magor.Vesztö-Magor1"	"Bln-1342"	"Vesztö-Magor"	46.9488	21.2034	6810	"Yerkes 2009"	0.05	"#3058e5"	7050
"Vésztö-Mágor"	"Beta-162061"	"Vésztö-Mágor"	46.78	20.23	6170	"Yerkes 2009"	0.05	"#3058e5"	6170
"Vickleby.Vickleby"	"Ua-22428"	"Vickleby"	56.5792	16.4594	3940	"Kiel DB 2013"	-0.05	"#FF3300"	3940
"Vickleby.Vickleby1"	"Ua-22428"	"Vickleby"	56.5792	16.4594	3940	"Kiel DB 2013"	0.05	"#3058e5"	3940
"Videlles-les-Roches.Videlles-les-Roches"	"GrN-4675"	"Videlles-les-Roches"	48.5833	20.5	5150	"Lanting and Mook 1977, 69"	-0.05	"#FF3300"	5150
"Videlles-les-Roches.Videlles-les-Roches1"	"GrN-4675"	"Videlles-les-Roches"	48.5833	20.5	5150	"Lanting and Mook 1977, 69"	0.05	"#3058e5"	5150
"Vidigal.Vidigal"	"GX-14557"	"Vidigal"	37.6602	-8.809	6900	"Gehlen 2010"	-0.05	"#FF3300"	6900
"Vidigal.Vidigal1"	"GX-14557"	"Vidigal"	37.6602	-8.809	6900	"Gehlen 2010"	0.05	"#3058e5"	6900
"Vidre.Vidre"	"Beta-58934"	"Vidre"	40.78	0.31	7070	"van Willigen 2006, Hidalgo 2010"	-0.05	"#FF3300"	7070
"Vidre.Vidre1"	"Beta-58934"	"Vidre"	40.78	0.31	7070	"van Willigen 2006, Hidalgo 2010"	0.05	"#3058e5"	7070
"Vieille Eglise.Vieille Eglise"	"CrG-410"	"Vieille Eglise"	45.9167	6.28	10800	""	-0.05	"#FF3300"	9090
"Vieille Eglise.Vieille Eglise1"	"Ly-1936"	"Vieille Eglise"	45.9167	6.28	9090	"Gehlen 2010"	0.05	"#3058e5"	10800
"Viesenhäuser Hof.Viesenhäuser Hof"	"Hd-7979"	"Viesenhäuser Hof"	48.85	9.2167	7110	"Jaguttis-Emden 1988, 201"	-0.05	"#FF3300"	6740
"Viesenhäuser Hof.Viesenhäuser Hof1"	"Hd-7935"	"Viesenhäuser Hof"	48.85	9.2167	6740	"Jaguttis-Emden 1988, 187"	0.05	"#3058e5"	7110
"Vile"	"K-7006"	"Vile"	56.7203	8.8649	4000	"Kiel DB 3889"	0.05	"#3058e5"	4000
"Vilkhovets.Vilkhovets"	"Ki-11454"	"Vilkhovets"	48.6988	27.3633	4830	"Lazarovici 2010"	-0.05	"#FF3300"	4650
"Vilkhovets.Vilkhovets1"	"Ki-9625"	"Vilkhovets"	48.6988	27.3633	4650	"Lazarovici 2010"	0.05	"#3058e5"	4830
