""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"OFFSET"	"COLOR"	"PARTNERAGE"
"La Revilla del Campo.La Revilla del Campo"	"UtC-13347"	"La Revilla del Campo"	41.2236	-2.5881	7240	"Carvalho 2008"	-0.05	"#FF3300"	7020
"La Revilla del Campo.La Revilla del Campo1"	"UtC-13348"	"La Revilla del Campo"	41.2236	-2.5881	7020	"Carvalho 2008"	0.05	"#3058e5"	7240
"La Riera.La Riera"	"GaK-2909"	"La Riera"	43.4248	-4.8565	9720	"Gehlen 2010"	-0.05	"#FF3300"	7370
"La Riera.La Riera1"	"GaK-3046"	"La Riera"	43.4248	-4.8565	7370	"Gehlen 2010"	0.05	"#3058e5"	9720
"La Roche"	"Ly-2531"	"La Roche"	47.2667	5.75	9400	""	0.05	"#3058e5"	9400
"La Sabliere.La Sabliere"	"Mc-441"	"La Sabliere"	43.18	5.38	8160	"van Willigen 2006"	-0.05	"#FF3300"	8160
"La Sabliere.La Sabliere1"	"Mc-441"	"La Sabliere"	43.18	5.38	8160	"van Willigen 2006"	0.05	"#3058e5"	8160
"La Sablière.La Sablière"	"Mc-428"	"La Sablière"	43.18	5.38	8400	"Linstädter 2004"	-0.05	"#FF3300"	8180
"La Sablière.La Sablière1"	"Mc-429"	"La Sablière"	43.18	5.38	8180	"Linstädter 2004"	0.05	"#3058e5"	8400
"Lascaux.Lascaux"	"Ly-1197"	"Lascaux"	45.05	1.1833	9710	""	-0.05	"#FF3300"	8470
"Lascaux.Lascaux1"	"Ly-1196"	"Lascaux"	45.05	1.1833	8470	""	0.05	"#3058e5"	9710
"Laschendorf 8"	"AAR-9751"	"Laschendorf 8"	53.4815	12.4686	5710	"Kiel DB 2751"	0.05	"#3058e5"	5710
"La Serreta"	"Beta-280861"	"La Serreta"	41.6056	2.3567	5960	"Terradas 2013"	0.05	"#3058e5"	5960
"LÃ¤ssmyran 1"	"Ua-32972"	"LÃ¤ssmyran 1"	59.0408	17.9714	5460	"Kiel DB 2013"	0.05	"#3058e5"	5460
"La Tardive"	"Gif-7352"	"La Tardive"	44.4	4.22	6750	"van Willigen 2006"	0.05	"#3058e5"	6750
"Lautereck.Lautereck"	"GrN-4666"	"Lautereck"	48.3167	9.5667	6240	"Lanting and Mook 1977, 46"	-0.05	"#FF3300"	6240
"Lautereck.Lautereck1"	"GrN-4666"	"Lautereck"	48.3167	9.5667	6240	"Lanting and Mook 1977, 46"	0.05	"#3058e5"	6240
"La Vaquera.La Vaquera"	"GrN-22932"	"La Vaquera"	41.17	-2.51	6990	"van Willigen 2006"	-0.05	"#FF3300"	5580
"La Vaquera.La Vaquera1"	"GrN-23560"	"La Vaquera"	41.17	-2.51	5580	"van Willigen 2006"	0.05	"#3058e5"	6990
"La Velilla.La Velilla"	"GrN-17166"	"La Velilla"	42.42	-4.41	6050	"van Willigen 2006"	-0.05	"#FF3300"	5840
"La Velilla.La Velilla1"	"GrN-18486"	"La Velilla"	42.42	-4.41	5840	"van Willigen 2006"	0.05	"#3058e5"	6050
"Lavringe Mose.Lavringe Mose"	"K-4805"	"Lavringe Mose"	55.9991	11.9833	6660	""	-0.05	"#FF3300"	6030
"Lavringe Mose.Lavringe Mose1"	"K-4804"	"Lavringe Mose"	55.9991	11.9833	6030	""	0.05	"#3058e5"	6660
"L Bedinge.L Bedinge"	"Ua-19468"	"L Bedinge"	55.382	13.4219	4310	"Kiel DB 2013"	-0.05	"#FF3300"	4180
"L Bedinge.L Bedinge1"	"Ua-19471"	"L Bedinge"	55.382	13.4219	4180	"Kiel DB 2013"	0.05	"#3058e5"	4310
"Le Baratin.Le Baratin"	"Ly-252"	"Le Baratin"	43.62	6.22	7200	"van Willigen 2006"	-0.05	"#FF3300"	7020
"Le Baratin.Le Baratin1"	"Ly-100"	"Le Baratin"	43.62	6.22	7020	"van Willigen 2006"	0.05	"#3058e5"	7200
"Le Déhus.Le Déhus"	"OxA-12540"	"Le Déhus"	49.4833	-2.5	5970	"Schulting 2013"	-0.05	"#FF3300"	4690
"Le Déhus.Le Déhus1"	"OxA-21198"	"Le Déhus"	49.4833	-2.5	4690	"Schulting 2013"	0.05	"#3058e5"	5970
"Leek-AZC.Leek-AZC"	"GrN-28291"	"Leek-AZC"	53.1668	6.3635	9330	"Niekus 2005/2006"	-0.05	"#FF3300"	8180
"Leek-AZC.Leek-AZC1"	"GrN-28290"	"Leek-AZC"	53.1668	6.3635	8180	"Niekus 2005/2006"	0.05	"#3058e5"	9330
"Leek-Mensumaweg.Leek-Mensumaweg"	"GrN-16191"	"Leek-Mensumaweg"	53.1797	6.353	9060	"Niekus 2005/2006"	-0.05	"#FF3300"	8600
"Leek-Mensumaweg.Leek-Mensumaweg1"	"GrN-23671"	"Leek-Mensumaweg"	53.1797	6.353	8600	"Lanting/vanderPlicht 1997/1998"	0.05	"#3058e5"	9060
"Leek-Mensumaweg IV"	"GrN-28838"	"Leek-Mensumaweg IV"	53.1797	6.353	9160	"Niekus 2005/2006"	0.05	"#3058e5"	9160
"Leer-Westhammrich.Leer-Westhammrich"	"GrA-14088"	"Leer-Westhammrich"	53.2333	7.435	4840	"Kiel DB 2757"	-0.05	"#FF3300"	4690
"Leer-Westhammrich.Leer-Westhammrich1"	"GrA-14090"	"Leer-Westhammrich"	53.2333	7.435	4690	"Kiel DB 2759"	0.05	"#3058e5"	4840
"Leffinge"	"ANTW-105"	"Leffinge"	51.1444	2.8702	5960	"Dauchot-Dehon e.a. 1978 (in:Bulletin de la Société Royale Belge d'Anthropologie et de Préhistoire, 89, 1978)"	0.05	"#3058e5"	5960
"Lefkandi.Lefkandi"	"LJ-1832"	"Lefkandi"	38.4	23.65	4520	"RC19, 1977, 28"	-0.05	"#FF3300"	3260
"Lefkandi.Lefkandi1"	"LJ-1883"	"Lefkandi"	38.4	23.65	3260	"RC19, 1977, 28"	0.05	"#3058e5"	4520
"Leidschendam.Leidschendam"	"GrN-5029"	"Leidschendam"	52.0781	4.4003	4000	"Lanting/Mook 1977, 82."	-0.05	"#FF3300"	3990
"Leidschendam.Leidschendam1"	"GrN-5027"	"Leidschendam"	52.0781	4.4003	3990	"Lanting/Mook 1977, 82."	0.05	"#3058e5"	4000
"Łęki Małe.Łęki Małe"	"GrN-5037"	"Łęki Małe"	51.356	18.4448	3920	"Vogel 1972"	-0.05	"#FF3300"	3920
"Łęki Małe.Łęki Małe1"	"GrN-5037"	"Łęki Małe"	51.356	18.4448	3920	"Vogel 1972"	0.05	"#3058e5"	3920
"Lelystad.Lelystad"	"GrN-5390"	"Lelystad"	52.5097	5.4775	6100	"Lanting/Mook 1977, 49; Breunig 1987, 190."	-0.05	"#FF3300"	6060
"Lelystad.Lelystad1"	"GrN-5348"	"Lelystad"	52.5097	5.4775	6060	"Lanting/Mook 1977, 49; Breunig 1987, 190."	0.05	"#3058e5"	6100
"Lemba-Lakkous.Lemba-Lakkous"	"OxA-1086"	"Lemba-Lakkous"	34.81	32.39	5470	"Housley 1994, 67"	-0.05	"#FF3300"	4840
"Lemba-Lakkous.Lemba-Lakkous1"	"OxA-1084"	"Lemba-Lakkous"	34.81	32.39	4840	"Housley 1994, 67"	0.05	"#3058e5"	5470
"Le Moulin"	"Ly-6405"	"Le Moulin"	42.9833	0.5833	11030	""	0.05	"#3058e5"	11030
"Lepenski Vir.Lepenski Vir"	"OxA-16076"	"Lepenski Vir"	44.5645	21.9982	11180	"Borić  2011"	-0.05	"#FF3300"	460
"Lepenski Vir.Lepenski Vir1"	"OxA-11718"	"Lepenski Vir"	44.5645	21.9982	460	"Borić  2011"	0.05	"#3058e5"	11180
"Le Petites Bâties.Le Petites Bâties"	"Beta-103868 "	"Le Petites Bâties"	44.27	4.69	7180	"van Willigen 2006"	-0.05	"#FF3300"	5110
"Le Petites Bâties.Le Petites Bâties1"	"Beta-103863"	"Le Petites Bâties"	44.27	4.69	5110	"Manen 2003"	0.05	"#3058e5"	7180
"Le Petit Marais .Le Petit Marais "	"GifA-97521"	"Le Petit Marais "	49.95	2.17	8640	"Bosset 2010"	-0.05	"#FF3300"	6330
"Le Petit Marais .Le Petit Marais 1"	"GifA-9238"	"Le Petit Marais "	49.95	2.17	6330	"Bosset 2010"	0.05	"#3058e5"	8640
"Le Pirou.Le Pirou"	"Mc-1233"	"Le Pirou"	45.06	3.86	6200	"van Willigen 2006"	-0.05	"#FF3300"	6200
"Le Pirou.Le Pirou1"	"Mc-1233"	"Le Pirou"	45.06	3.86	6200	"van Willigen 2006"	0.05	"#3058e5"	6200
"Le Plaisir"	"Gif-5856"	"Le Plaisir"	43.62	3.97	9480	""	0.05	"#3058e5"	9480
"Le Pré des Forges.Le Pré des Forges"	"Ly-4982"	"Le Pré des Forges"	48.0999	3.2488	8670	""	-0.05	"#FF3300"	8670
"Le Pré des Forges.Le Pré des Forges1"	"Ly-4982"	"Le Pré des Forges"	48.0999	3.2488	8670	""	0.05	"#3058e5"	8670
"Lerna.Lerna"	"P-321A"	"Lerna"	37.53	22.7	4440	"Kohler and Ralph 1961, 365"	-0.05	"#FF3300"	3720
"Lerna.Lerna1"	"GrA-28160"	"Lerna"	37.53	22.7	3720	"Voutsaki 2009"	0.05	"#3058e5"	4440
"Lerum 124"	"Ua-5264"	"Lerum 124"	57.7881	12.3017	5700	"Kiel DB 2013"	0.05	"#3058e5"	5700
"Les Charmes.Les Charmes"	"Gif-1597"	"Les Charmes"	46.5	4.9833	9060	""	-0.05	"#FF3300"	9060
"Les Charmes.Les Charmes1"	"Gif-1597"	"Les Charmes"	46.5	4.9833	9060	""	0.05	"#3058e5"	9060
"Les Closeaux"	"Ly-254"	"Les Closeaux"	48.9	2.2	10060	""	0.05	"#3058e5"	10060
"Les Conques"	"Gif-3753"	"Les Conques"	42.76	2.83	9860	""	0.05	"#3058e5"	9860
"Les Coudoumines"	"Ly-225"	"Les Coudoumines"	42.73	2.57	5810	"van Willigen 2006"	0.05	"#3058e5"	5810
"Les Fiex.Les Fiex"	"Gif-4281"	"Les Fiex"	44.88	1.69	10170	"Bosset 2010"	-0.05	"#FF3300"	10170
"Les Fiex.Les Fiex1"	"Gif-4281"	"Les Fiex"	44.88	1.69	10170	"Bosset 2010"	0.05	"#3058e5"	10170
